% -----------------------------------------------------------------------------
% MACRO       UNICODE CHARACTER      UNICODE HEX VALUE
% -----------------------------------------------------------------------------
% =============================================================================
% LETTERS (SETS: BASE,FULL)

\AA                   Å              C5
\E0    ➠             27A0
\E1    ➡             27A1
\E2    ➢             27A2
\E3    ➣             27A3
\E4    ➤             27A4
\E5    ➥             27A5
\E6    ➦             27A6
\E7    ➧             27A7
\E8    ➨             27A8
\E9    ➩             27A9
\EA    ➪             27AA
\EB    ➫             27AB
\EC    ➬             27AC
\ED    ➭             27AD
\EE    ➮             27AE
\EF    ➯             27AF
\F1    ➱             27B1
\F2    ➲             27B2
\F3    ➳             27B3
\F4    ➴             27B4
\F5    ➵             27B5
\F6    ➶             27B6
\F7    ➷             27B7
\F8    ➸             27B8
\F9    ➹             27B9
\FA    ➺             27BA
\FB    ➻             27BB
\FC    ➼             27BC
\FD    ➽             27BD
\FE    ➾             27BE

% =============================================================================
% GREEK (SETS: FULL)

\alpha       α              3B1
\beta        β              3B2
\gamma       γ              3B3
\delta       δ              3B4
\varepsilon  ε              3B5
\zeta        ζ              3B6
\eta         η              3B7
\vartheta    θ              3B8
\iota        ι              3B9
\kappa       κ              3BA
\lambda      λ              3BB
\mu          μ              3BC
\nu          ν              3BD
\xi          ξ              3BE
\omicron     ο              3BF
\pi          π              3C0
\varrho      ρ              3C1
\varsigma    ς              3C2
\sigma       σ              3C3
\tau         τ              3C4
\upsilon     υ              3C5
\varphi      φ              3C6
\chi         χ              3C7
\psi         ψ              3C8
\omega       ω              3C9
\Alpha       Α              391
\Beta        Β              392
\Gamma       Γ              393
\Delta       Δ              394
\Epsilon     Ε              395
\Zeta        Ζ              396
\Eta         Η              397
\Theta       Θ              398
\Iota        Ι              399
\Kappa       Κ              39A
\Lambda      Λ              39B
\Mu          Μ              39C
\Nu          Ν              39D
\Xi          Ξ              39E
\Omicron     Ο              39F
\Pi          Π              3A0
\Rho         Ρ              3A1
\Sigma       Σ              3A3
\Tau         Τ              3A4
\Upsilon     Υ              3A5
\Phi         Φ              3A6
\Chi         Χ              3A7
\Psi         Ψ              3A8
\Omega       Ω              3A9

% =============================================================================
